,index,FACS.selection,age,batch,cell,cell_ontology_class,cell_ontology_id,cellid,free_annotation,method,mouse.id,plate,sex,subtissue,tissue,well,n_genes,n_counts,louvain,cluster_names
1111,A1.B000971.3_39_F.1.1-1,nan,3m,1,A1.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1800,1365096,3,3_B cell
1113,A1.MAA000508.3_9_M.1.1-1,nan,3m,1,A1.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1803,231116,0,0_B cell
1114,A1.MAA000559.3_8_M.1.1-1,nan,3m,1,A1.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1753,525402,3,3_B cell
1115,A1.MAA000776.3_10_M.1.1-1,nan,3m,1,A1.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,669,187097,0,0_B cell
1116,A1.MAA000779.3_11_M.1.1-1,nan,3m,1,A1.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1193,216718,0,0_B cell
1117,A10.B000971.3_39_F.1.1-1,nan,3m,1,A10.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1600,1226618,1,1_T cell
1118,A10.B001750.3_38_F.1.1-1,nan,3m,1,A10.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1918,118549,1,1_T cell
1119,A10.MAA000508.3_9_M.1.1-1,nan,3m,1,A10.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,1948,465561,1,1_T cell
1120,A10.MAA000559.3_8_M.1.1-1,nan,3m,1,A10.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1459,444159,0,0_B cell
1121,A10.MAA000779.3_11_M.1.1-1,nan,3m,1,A10.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1073,185439,4,4_B cell
1122,A11.B000971.3_39_F.1.1-1,nan,3m,1,A11.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2062,911794,0,0_B cell
1123,A11.B001750.3_38_F.1.1-1,nan,3m,1,A11.B001750.3_38_F.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_38_F,nan,female,NA,Spleen,nan,1374,95112,12,12_NK cell
1124,A11.MAA000508.3_9_M.1.1-1,nan,3m,1,A11.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1957,266198,3,3_B cell
1125,A11.MAA000559.3_8_M.1.1-1,nan,3m,1,A11.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1644,400970,3,3_B cell
1126,A11.MAA000779.3_11_M.1.1-1,nan,3m,1,A11.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1214,260750,0,0_B cell
1127,A12.B000971.3_39_F.1.1-1,nan,3m,1,A12.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,2223,863887,9,9_T cell
1128,A12.MAA000508.3_9_M.1.1-1,nan,3m,1,A12.MAA000508.3_9_M.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_9_M,nan,male,NA,Spleen,nan,1923,256973,12,12_NK cell
1129,A12.MAA000559.3_8_M.1.1-1,nan,3m,1,A12.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1589,365233,11,11_B cell
1130,A12.MAA000776.3_10_M.1.1-1,nan,3m,1,A12.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2309,736269,5,5_B cell
1131,A12.MAA000779.3_11_M.1.1-1,nan,3m,1,A12.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1595,277626,2,2_B cell
1132,A13.B000971.3_39_F.1.1-1,nan,3m,1,A13.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1648,632348,0,0_B cell
1133,A13.B001750.3_38_F.1.1-1,nan,3m,1,A13.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2102,536145,2,2_B cell
1134,A13.MAA000508.3_9_M.1.1-1,nan,3m,1,A13.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1550,222831,11,11_B cell
1136,A13.MAA000779.3_11_M.1.1-1,nan,3m,1,A13.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1533,306576,5,5_B cell
1137,A14.B000971.3_39_F.1.1-1,nan,3m,1,A14.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1601,1137193,0,0_B cell
1138,A14.B001750.3_38_F.1.1-1,nan,3m,1,A14.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2343,488719,1,1_T cell
1139,A14.MAA000508.3_9_M.1.1-1,nan,3m,1,A14.MAA000508.3_9_M.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_9_M,nan,male,NA,Spleen,nan,2274,294014,12,12_NK cell
1140,A14.MAA000559.3_8_M.1.1-1,nan,3m,1,A14.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,3362,1052239,1,1_T cell
1141,A14.MAA000779.3_11_M.1.1-1,nan,3m,1,A14.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1649,273572,9,9_T cell
1142,A15.B000971.3_39_F.1.1-1,nan,3m,1,A15.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1708,787104,7,7_B cell
1143,A15.B001750.3_38_F.1.1-1,nan,3m,1,A15.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1730,353608,0,0_B cell
1144,A15.MAA000508.3_9_M.1.1-1,nan,3m,1,A15.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1863,186423,5,5_B cell
1145,A15.MAA000776.3_10_M.1.1-1,nan,3m,1,A15.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1688,691221,0,0_B cell
1146,A15.MAA000779.3_11_M.1.1-1,nan,3m,1,A15.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,2028,315414,6,6_B cell
1147,A16.B000971.3_39_F.1.1-1,nan,3m,1,A16.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1738,856579,1,1_T cell
1148,A16.B001750.3_38_F.1.1-1,nan,3m,1,A16.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1967,483721,1,1_T cell
1149,A16.MAA000508.3_9_M.1.1-1,nan,3m,1,A16.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1598,166669,11,11_B cell
1150,A16.MAA000559.3_8_M.1.1-1,nan,3m,1,A16.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1952,497966,0,0_B cell
1151,A16.MAA000776.3_10_M.1.1-1,nan,3m,1,A16.MAA000776.3_10_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_10_M,nan,male,NA,Spleen,nan,1935,925796,1,1_T cell
1152,A16.MAA000779.3_11_M.1.1-1,nan,3m,1,A16.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1439,272329,1,1_T cell
1153,A17.B000971.3_39_F.1.1-1,nan,3m,1,A17.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2220,1035141,2,2_B cell
1154,A17.B001750.3_38_F.1.1-1,nan,3m,1,A17.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1233,175800,11,11_B cell
1155,A17.MAA000508.3_9_M.1.1-1,nan,3m,1,A17.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,1622,161879,1,1_T cell
1156,A17.MAA000779.3_11_M.1.1-1,nan,3m,1,A17.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1367,213360,1,1_T cell
1157,A18.B000971.3_39_F.1.1-1,nan,3m,1,A18.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1992,1381675,3,3_B cell
1158,A18.B001750.3_38_F.1.1-1,nan,3m,1,A18.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1577,197123,0,0_B cell
1159,A18.MAA000508.3_9_M.1.1-1,nan,3m,1,A18.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1636,187487,0,0_B cell
1160,A18.MAA000559.3_8_M.1.1-1,nan,3m,1,A18.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1802,426713,11,11_B cell
1161,A18.MAA000776.3_10_M.1.1-1,nan,3m,1,A18.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1730,470838,3,3_B cell
1162,A18.MAA000779.3_11_M.1.1-1,nan,3m,1,A18.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,918,158821,0,0_B cell
1163,A19.B000971.3_39_F.1.1-1,nan,3m,1,A19.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1976,1025510,0,0_B cell
1164,A19.B001750.3_38_F.1.1-1,nan,3m,1,A19.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2110,452283,3,3_B cell
1165,A19.MAA000508.3_9_M.1.1-1,nan,3m,1,A19.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1934,94518,0,0_B cell
1166,A19.MAA000559.3_8_M.1.1-1,nan,3m,1,A19.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1709,400253,0,0_B cell
1167,A19.MAA000776.3_10_M.1.1-1,nan,3m,1,A19.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1814,552425,0,0_B cell
1168,A19.MAA000779.3_11_M.1.1-1,nan,3m,1,A19.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1187,263536,3,3_B cell
1169,A2.B000971.3_39_F.1.1-1,nan,3m,1,A2.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1309,1039999,0,0_B cell
1170,A2.B001750.3_38_F.1.1-1,nan,3m,1,A2.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,3508,163297,6,6_B cell
1171,A2.MAA000508.3_9_M.1.1-1,nan,3m,1,A2.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1943,297614,0,0_B cell
1172,A2.MAA000559.3_8_M.1.1-1,nan,3m,1,A2.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1569,393956,0,0_B cell
1173,A2.MAA000776.3_10_M.1.1-1,nan,3m,1,A2.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1308,419106,3,3_B cell
1174,A2.MAA000779.3_11_M.1.1-1,nan,3m,1,A2.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1128,238088,2,2_B cell
1175,A20.B000971.3_39_F.1.1-1,nan,3m,1,A20.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1229,541125,0,0_B cell
1176,A20.B001750.3_38_F.1.1-1,nan,3m,1,A20.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2042,509101,9,9_T cell
1177,A20.MAA000508.3_9_M.1.1-1,nan,3m,1,A20.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1474,132957,0,0_B cell
1178,A20.MAA000559.3_8_M.1.1-1,nan,3m,1,A20.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,1964,633513,1,1_T cell
1179,A20.MAA000776.3_10_M.1.1-1,nan,3m,1,A20.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2128,912276,2,2_B cell
1180,A20.MAA000779.3_11_M.1.1-1,nan,3m,1,A20.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1512,277649,6,6_B cell
1181,A21.B000971.3_39_F.1.1-1,nan,3m,1,A21.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1743,1258061,3,3_B cell
1182,A21.B001750.3_38_F.1.1-1,nan,3m,1,A21.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1632,244498,0,0_B cell
1183,A21.MAA000508.3_9_M.1.1-1,nan,3m,1,A21.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,1450,143410,1,1_T cell
1184,A21.MAA000559.3_8_M.1.1-1,nan,3m,1,A21.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1363,370690,11,11_B cell
1185,A21.MAA000776.3_10_M.1.1-1,nan,3m,1,A21.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1679,514210,0,0_B cell
1186,A21.MAA000779.3_11_M.1.1-1,nan,3m,1,A21.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1583,321105,3,3_B cell
1187,A22.B000971.3_39_F.1.1-1,nan,3m,1,A22.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1344,860733,0,0_B cell
1188,A22.B001750.3_38_F.1.1-1,nan,3m,1,A22.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1882,398596,1,1_T cell
1189,A22.MAA000508.3_9_M.1.1-1,nan,3m,1,A22.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,2510,393882,10,10_T cell
1190,A22.MAA000559.3_8_M.1.1-1,nan,3m,1,A22.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1499,341961,11,11_B cell
1191,A22.MAA000776.3_10_M.1.1-1,nan,3m,1,A22.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1987,665100,2,2_B cell
1192,A22.MAA000779.3_11_M.1.1-1,nan,3m,1,A22.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1362,245968,1,1_T cell
1193,A3.B000971.3_39_F.1.1-1,nan,3m,1,A3.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1615,912958,0,0_B cell
1194,A3.B001750.3_38_F.1.1-1,nan,3m,1,A3.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1669,54628,4,4_B cell
1195,A3.MAA000508.3_9_M.1.1-1,nan,3m,1,A3.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1881,406370,4,4_B cell
1196,A3.MAA000559.3_8_M.1.1-1,nan,3m,1,A3.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1791,405300,5,5_B cell
1197,A3.MAA000776.3_10_M.1.1-1,nan,3m,1,A3.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1931,947995,4,4_B cell
1198,A3.MAA000779.3_11_M.1.1-1,nan,3m,1,A3.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1102,231852,4,4_B cell
1199,A4.B000971.3_39_F.1.1-1,nan,3m,1,A4.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1574,566481,0,0_B cell
1200,A4.B001750.3_38_F.1.1-1,nan,3m,1,A4.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1631,36646,3,3_B cell
1201,A4.MAA000508.3_9_M.1.1-1,nan,3m,1,A4.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2217,459280,0,0_B cell
1202,A4.MAA000559.3_8_M.1.1-1,nan,3m,1,A4.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,1412,264911,1,1_T cell
1203,A4.MAA000776.3_10_M.1.1-1,nan,3m,1,A4.MAA000776.3_10_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_10_M,nan,male,NA,Spleen,nan,1951,548806,1,1_T cell
1204,A4.MAA000779.3_11_M.1.1-1,nan,3m,1,A4.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1151,263899,3,3_B cell
1205,A5.B000971.3_39_F.1.1-1,nan,3m,1,A5.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1489,965242,4,4_B cell
1206,A5.B001750.3_38_F.1.1-1,nan,3m,1,A5.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1866,60122,0,0_B cell
1207,A5.MAA000508.3_9_M.1.1-1,nan,3m,1,A5.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,2528,425542,9,9_T cell
1208,A5.MAA000559.3_8_M.1.1-1,nan,3m,1,A5.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,2546,557617,1,1_T cell
1209,A5.MAA000776.3_10_M.1.1-1,nan,3m,1,A5.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1353,316170,0,0_B cell
1210,A5.MAA000779.3_11_M.1.1-1,nan,3m,1,A5.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1114,197598,0,0_B cell
1211,A6.B000971.3_39_F.1.1-1,nan,3m,1,A6.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1583,927986,0,0_B cell
1212,A6.B001750.3_38_F.1.1-1,nan,3m,1,A6.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2594,134111,7,7_B cell
1213,A6.MAA000508.3_9_M.1.1-1,nan,3m,1,A6.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2265,299153,4,4_B cell
1214,A6.MAA000559.3_8_M.1.1-1,nan,3m,1,A6.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1680,516480,3,3_B cell
1215,A6.MAA000776.3_10_M.1.1-1,nan,3m,1,A6.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1735,554942,11,11_B cell
1216,A6.MAA000779.3_11_M.1.1-1,nan,3m,1,A6.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1181,165193,0,0_B cell
1217,A7.B000971.3_39_F.1.1-1,nan,3m,1,A7.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1788,742567,1,1_T cell
1218,A7.B001750.3_38_F.1.1-1,nan,3m,1,A7.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1523,58486,0,0_B cell
1219,A7.MAA000508.3_9_M.1.1-1,nan,3m,1,A7.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,2309,417699,1,1_T cell
1220,A7.MAA000559.3_8_M.1.1-1,nan,3m,1,A7.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1339,332795,7,7_B cell
1221,A7.MAA000776.3_10_M.1.1-1,nan,3m,1,A7.MAA000776.3_10_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_10_M,nan,male,NA,Spleen,nan,1921,902828,1,1_T cell
1222,A7.MAA000779.3_11_M.1.1-1,nan,3m,1,A7.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1087,221337,4,4_B cell
1223,A8.B000971.3_39_F.1.1-1,nan,3m,1,A8.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1595,652224,1,1_T cell
1224,A8.B001750.3_38_F.1.1-1,nan,3m,1,A8.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1425,107815,11,11_B cell
1225,A8.MAA000508.3_9_M.1.1-1,nan,3m,1,A8.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1654,181126,2,2_B cell
1226,A8.MAA000559.3_8_M.1.1-1,nan,3m,1,A8.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1538,340378,4,4_B cell
1227,A8.MAA000776.3_10_M.1.1-1,nan,3m,1,A8.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1351,360692,0,0_B cell
1228,A8.MAA000779.3_11_M.1.1-1,nan,3m,1,A8.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1011,200916,0,0_B cell
1229,A9.B000971.3_39_F.1.1-1,nan,3m,1,A9.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1260,545175,1,1_T cell
1230,A9.B001750.3_38_F.1.1-1,nan,3m,1,A9.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2918,167499,9,9_T cell
1232,A9.MAA000559.3_8_M.1.1-1,nan,3m,1,A9.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1794,445588,0,0_B cell
1233,A9.MAA000776.3_10_M.1.1-1,nan,3m,1,A9.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1855,434685,3,3_B cell
1234,A9.MAA000779.3_11_M.1.1-1,nan,3m,1,A9.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1109,226361,11,11_B cell
1235,B1.B001750.3_38_F.1.1-1,nan,3m,1,B1.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2406,1561217,1,1_T cell
1236,B1.MAA000508.3_9_M.1.1-1,nan,3m,1,B1.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1946,327412,11,11_B cell
1237,B1.MAA000559.3_8_M.1.1-1,nan,3m,1,B1.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,1859,392652,1,1_T cell
1238,B1.MAA000776.3_10_M.1.1-1,nan,3m,1,B1.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1596,496954,3,3_B cell
