,index,FACS.selection,age,batch,cell,cell_ontology_class,cell_ontology_id,cellid,free_annotation,method,mouse.id,plate,sex,subtissue,tissue,well,n_genes,n_counts,louvain,cluster_names
2057,I9.B000971.3_39_F.1.1-1,nan,3m,1,I9.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1464,258914,3,3_B cell
2058,I9.MAA000559.3_8_M.1.1-1,nan,3m,1,I9.MAA000559.3_8_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_8_M,nan,male,NA,Spleen,nan,1685,339577,1,1_T cell
2059,I9.MAA000779.3_11_M.1.1-1,nan,3m,1,I9.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1395,234936,0,0_B cell
2060,J1.B000971.3_39_F.1.1-1,nan,3m,1,J1.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1752,533291,1,1_T cell
2061,J1.B001750.3_38_F.1.1-1,nan,3m,1,J1.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1740,468562,5,5_B cell
2062,J1.MAA000508.3_9_M.1.1-1,nan,3m,1,J1.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2379,309701,5,5_B cell
2063,J1.MAA000559.3_8_M.1.1-1,nan,3m,1,J1.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1882,269312,2,2_B cell
2064,J1.MAA000779.3_11_M.1.1-1,nan,3m,1,J1.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,937,122516,0,0_B cell
2065,J10.B000971.3_39_F.1.1-1,nan,3m,1,J10.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1576,412572,11,11_B cell
2066,J10.B001750.3_38_F.1.1-1,nan,3m,1,J10.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2378,604094,11,11_B cell
2067,J10.MAA000559.3_8_M.1.1-1,nan,3m,1,J10.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1716,204738,7,7_B cell
2068,J10.MAA000776.3_10_M.1.1-1,nan,3m,1,J10.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2451,1109949,2,2_B cell
2069,J11.B000971.3_39_F.1.1-1,nan,3m,1,J11.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,2060,1064180,1,1_T cell
2070,J11.B001750.3_38_F.1.1-1,nan,3m,1,J11.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1498,385196,3,3_B cell
2071,J11.MAA000559.3_8_M.1.1-1,nan,3m,1,J11.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1804,316026,0,0_B cell
2072,J11.MAA000776.3_10_M.1.1-1,nan,3m,1,J11.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1779,312130,2,2_B cell
2073,J12.B000971.3_39_F.1.1-1,nan,3m,1,J12.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2837,1235551,2,2_B cell
2074,J12.B001750.3_38_F.1.1-1,nan,3m,1,J12.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1577,571253,0,0_B cell
2075,J12.MAA000508.3_9_M.1.1-1,nan,3m,1,J12.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2961,542538,7,7_B cell
2076,J12.MAA000776.3_10_M.1.1-1,nan,3m,1,J12.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,1541,258563,3,3_B cell
2077,J12.MAA000779.3_11_M.1.1-1,nan,3m,1,J12.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,2304,352504,6,6_B cell
2079,J13.B001750.3_38_F.1.1-1,nan,3m,1,J13.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,1931,445668,1,1_T cell
2080,J13.MAA000559.3_8_M.1.1-1,nan,3m,1,J13.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1543,225054,3,3_B cell
2081,J13.MAA000776.3_10_M.1.1-1,nan,3m,1,J13.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2825,660752,3,3_B cell
2082,J13.MAA000779.3_11_M.1.1-1,nan,3m,1,J13.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,2046,373454,7,7_B cell
2083,J14.B000971.3_39_F.1.1-1,nan,3m,1,J14.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,2033,590223,0,0_B cell
2084,J14.B001750.3_38_F.1.1-1,nan,3m,1,J14.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,3608,826680,2,2_B cell
2085,J14.MAA000508.3_9_M.1.1-1,nan,3m,1,J14.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,2473,303882,1,1_T cell
2086,J14.MAA000559.3_8_M.1.1-1,nan,3m,1,J14.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1361,206578,0,0_B cell
2087,J14.MAA000779.3_11_M.1.1-1,nan,3m,1,J14.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1191,301754,0,0_B cell
2088,J15.B001750.3_38_F.1.1-1,nan,3m,1,J15.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1998,837118,7,7_B cell
2089,J15.MAA000559.3_8_M.1.1-1,nan,3m,1,J15.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1590,249082,7,7_B cell
2090,J15.MAA000776.3_10_M.1.1-1,nan,3m,1,J15.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,3596,705678,2,2_B cell
2091,J15.MAA000779.3_11_M.1.1-1,nan,3m,1,J15.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1523,368870,1,1_T cell
2092,J16.B000971.3_39_F.1.1-1,nan,3m,1,J16.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1933,439255,0,0_B cell
2093,J16.MAA000559.3_8_M.1.1-1,nan,3m,1,J16.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1381,241001,0,0_B cell
2094,J16.MAA000776.3_10_M.1.1-1,nan,3m,1,J16.MAA000776.3_10_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_10_M,nan,male,NA,Spleen,nan,1887,420900,1,1_T cell
2095,J16.MAA000779.3_11_M.1.1-1,nan,3m,1,J16.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1007,129544,3,3_B cell
2096,J17.MAA000559.3_8_M.1.1-1,nan,3m,1,J17.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1434,266176,11,11_B cell
2098,J17.MAA000779.3_11_M.1.1-1,nan,3m,1,J17.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,1099,318866,3,3_B cell
2099,J18.B000971.3_39_F.1.1-1,nan,3m,1,J18.B000971.3_39_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_39_F,nan,female,NA,Spleen,nan,1569,537128,1,1_T cell
2100,J18.B001750.3_38_F.1.1-1,nan,3m,1,J18.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1756,258424,0,0_B cell
2101,J18.MAA000559.3_8_M.1.1-1,nan,3m,1,J18.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1397,257807,0,0_B cell
2102,J18.MAA000776.3_10_M.1.1-1,nan,3m,1,J18.MAA000776.3_10_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_10_M,nan,male,NA,Spleen,nan,2168,431278,1,1_T cell
2103,J18.MAA000779.3_11_M.1.1-1,nan,3m,1,J18.MAA000779.3_11_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_11_M,nan,male,NA,Spleen,nan,1972,453376,9,9_T cell
