chi_squared	pval
286.0	1.856163109923255e-64
287.0	1.1238567655138971e-64
288.0	6.804691299789102e-65
289.0	4.120107137834414e-65
290.0	2.4946590084865916e-65
291.0	1.5104851306778808e-65
292.0	9.145854378842856e-66
293.0	5.53776671746672e-66
294.0	3.353108146887573e-66
295.0	2.0303129144674544e-66
296.0	1.2293651245675675e-66
297.0	7.443912825427032e-67
298.0	4.507379552412165e-67
299.0	2.729288385868738e-67
300.0	1.6526357870824318e-67
301.0	1.0007078154051361e-67
302.0	6.059542375907689e-68
303.0	3.669228373968626e-68
304.0	2.2218361301429793e-68
305.0	1.3454007204314366e-68
306.0	8.146923182949087e-69
307.0	4.933304313030617e-69
308.0	2.987338902330816e-69
309.0	1.808978361816493e-69
310.0	1.0954297309587166e-69
311.0	6.633426712926868e-70
312.0	4.016923786570114e-70
313.0	2.4324923279811005e-70
314.0	1.473029969880259e-70
315.0	8.920185567971142e-71
316.0	5.4017985480976375e-71
317.0	3.2711846004227268e-71
318.0	1.9809516845262876e-71
319.0	1.1996232125894492e-71
320.0	7.264704810503104e-72
321.0	4.3993975047143824e-72
322.0	2.664222818062712e-72
323.0	1.613429440356827e-72
324.0	9.770830792194967e-73
325.0	5.917184024527385e-73
326.0	3.5834447723315154e-73
327.0	2.1701432298471705e-73
328.0	1.3142503817254762e-73
329.0	7.959207805424076e-74
330.0	4.8201836120556145e-74
331.0	2.9191695077317488e-74
332.0	1.7678972816200264e-74
333.0	1.0706726580784863e-74
334.0	6.484229155008823e-75
335.0	3.927009424184311e-75
336.0	2.3783045535489955e-75
337.0	1.4403728103731335e-75
338.0	8.723369611373627e-76
339.0	5.28318154005019e-76
340.0	3.199695744807599e-76
341.0	1.937865860608988e-76
342.0	1.1736554163118777e-76
343.0	7.108195426210534e-77
344.0	4.3050674201446865e-77
345.0	2.6073683530691174e-77
346.0	1.579161862955632e-77
347.0	9.564289609586515e-78
348.0	5.792694070069254e-78
349.0	3.5084093538789774e-78
350.0	2.1249157256857644e-78
351.0	1.286989292183892e-78
352.0	7.794888711705335e-79
353.0	4.721137587496479e-79
354.0	2.8594673229210574e-79
355.0	1.731910126162047e-79
356.0	1.0489801934774881e-79
357.0	6.353469333424062e-80
358.0	3.848188096049846e-80
359.0	2.3307910399279946e-80
360.0	1.4117313947019497e-80
361.0	8.550715983018844e-81
362.0	5.179103093984482e-81
363.0	3.136954993696204e-81
364.0	1.9000440412226988e-81
365.0	1.1508552050004266e-81
366.0	6.970747229863786e-82
367.0	4.222207807114121e-82
368.0	2.5574166380577834e-82
369.0	1.5490483432662076e-82
370.0	9.382747987020541e-83
371.0	5.683249441905248e-83
372.0	3.442428763514289e-83
373.0	2.085137865234077e-83
374.0	1.263008137819994e-83
375.0	7.650310729967437e-84
376.0	4.63397349633001e-84
377.0	2.806916878077008e-84
378.0	1.700227695266655e-84
379.0	1.0298788518430206e-84
380.0	6.23830646015289e-85
381.0	3.778755353035164e-85
382.0	2.2889291016474445e-85
383.0	1.386492083974408e-85
384.0	8.398542576425099e-86
385.0	5.0873537180137406e-86
386.0	3.081636476896839e-86
387.0	1.8666905763844817e-86
388.0	1.1307450983176889e-86
389.0	6.849494716015278e-87
390.0	4.149098939746862e-87
391.0	2.513335554952213e-87
392.0	1.5224694236047933e-87
393.0	9.222487954021074e-88
394.0	5.586618561408607e-88
395.0	3.3841635393954723e-88
396.0	2.0500056405699904e-88
397.0	1.2418243022378206e-88
398.0	7.522576813400232e-89
399.0	4.5569522544589816e-89
400.0	2.7604741810798798e-89
401.0	1.672223251899137e-89
402.0	1.0129923758759718e-89
403.0	6.1364816410349855e-90
404.0	3.717355012619832e-90
405.0	2.251904500174466e-90
406.0	1.364166004859796e-90
407.0	8.263914093809974e-91
408.0	5.006170953022225e-91
409.0	3.032681923300086e-91
410.0	1.837170009672182e-91
411.0	1.1129435163627097e-91
412.0	6.742146510381731e-92
413.0	4.084364821491079e-92
414.0	2.4742987816562143e-92
415.0	1.4989288636625375e-92
416.0	9.080529311306834e-93
417.0	5.5010116095914025e-93
418.0	3.332538743565157e-93
419.0	2.0188734448692026e-93
420.0	1.2230500252671057e-93
421.0	7.409357966776266e-94
422.0	4.4886749696421804e-94
423.0	2.719298978812439e-94
424.0	1.6473920811231256e-94
425.0	9.980175913462357e-95
426.0	6.046173714581753e-95
427.0	3.662893081589176e-95
428.0	2.2190600458169695e-95
429.0	1.344358357716258e-95
430.0	8.14445876502528e-96
431.0	4.934129919183529e-96
432.0	2.989235293775412e-96
433.0	1.8109680385247077e-96
434.0	1.0971414627511323e-96
435.0	6.646846101224751e-97
436.0	4.0268899986572865e-97
437.0	2.439636102028536e-97
438.0	1.4780239578403535e-97
439.0	8.9544523124856e-98
440.0	5.424974596569903e-98
441.0	3.286680676251008e-98
442.0	1.9912162623992913e-98
443.0	1.2063698125311832e-98
444.0	7.308758269723738e-99
445.0	4.428002290500193e-99
446.0	2.682706564940879e-99
447.0	1.6253226922265352e-99
448.0	9.84707197914222e-100
449.0	5.965896408684625e-100
450.0	3.6144762938716625e-100
451.0	2.1898588647860621e-100
452.0	1.32674646230268e-100
453.0	8.038237127917166e-101
454.0	4.870064883825738e-101
455.0	2.9505958993095226e-101
456.0	1.7876634901718642e-101
457.0	1.0830857723697414e-101
458.0	6.5620716941262e-102
459.0	3.9757596913152e-102
460.0	2.408797613509131e-102
461.0	1.4594241362533807e-102
462.0	8.842269722578274e-103
463.0	5.357312864578938e-103
464.0	3.245871136281683e-103
465.0	1.9666023186708028e-103
466.0	1.1915240811286297e-103
467.0	7.219217079926313e-104
468.0	4.373995923270577e-104
469.0	2.6501328053078943e-104
470.0	1.6056759022374618e-104
471.0	9.728572596600977e-105
472.0	5.894423523056164e-105
473.0	3.571367361636157e-105
474.0	2.163857633691399e-105
475.0	1.3110637481005193e-105
476.0	7.943646263983515e-106
477.0	4.813011976679434e-106
478.0	2.916184133052612e-106
479.0	1.7669078217624643e-106
480.0	1.0705668474958322e-106
481.0	6.486562842011975e-107
482.0	3.93021589753935e-107
483.0	2.3813274643679654e-107
484.0	1.4428552512842027e-107
485.0	8.742332798909473e-108
486.0	5.2970348312775926e-108
487.0	3.2095137586464986e-108
488.0	1.94467293715383e-108
489.0	1.1782971057189387e-108
490.0	7.13943689927702e-109
491.0	4.32587546368544e-109
492.0	2.621108303422344e-109
493.0	1.5881693744724364e-109
494.0	9.622979514311092e-110
495.0	5.830733544641962e-110
496.0	3.5329518257566813e-110
497.0	2.1406867378501478e-110
498.0	1.2970878777018685e-110
499.0	7.859348706650733e-111
500.0	4.762166634146102e-111
501.0	2.885515995591574e-111
502.0	1.7484098702380648e-111
503.0	1.0594095282400787e-111
504.0	6.419265789096025e-112
505.0	3.8896246714651075e-112
506.0	2.3568442629072446e-112
507.0	1.4280878481433412e-112
508.0	8.653261062427402e-113
509.0	5.243309939966411e-113
510.0	3.1771088362767814e-113
511.0	1.9251274628605047e-113
512.0	1.1665079906963476e-113
513.0	7.068329313380423e-114
514.0	4.28298602354754e-114
515.0	2.5952390135345467e-114
516.0	1.5725660083045892e-114
517.0	9.528866056460801e-115
518.0	5.773968004854206e-115
519.0	3.498713115252697e-115
520.0	2.1200353335690495e-115
521.0	1.284631799886035e-115
522.0	7.784218852412965e-116
523.0	4.7168515006589344e-116
524.0	2.858183868017606e-116
525.0	1.7319243351947983e-116
526.0	1.0494661934809037e-116
527.0	6.359292142621768e-117
528.0	3.853451365320544e-117
529.0	2.335026245661157e-117
530.0	1.4149282793311846e-117
531.0	8.573889064269437e-118
532.0	5.195436766532923e-118
533.0	3.148234211899475e-118
534.0	1.907711813761283e-118
535.0	1.1560038106384e-118
536.0	7.004973890749279e-119
537.0	4.2447736035004894e-119
538.0	2.572191483861257e-119
539.0	1.558665096607798e-119
540.0	9.445024135294623e-120
541.0	5.723399726767747e-120
542.0	3.468213518995964e-120
543.0	2.101639944912156e-120
544.0	1.2735369157539503e-120
545.0	7.717302005053693e-121
546.0	4.676491883052674e-121
547.0	2.83384180088693e-121
548.0	1.71724296184645e-121
549.0	1.0406114762642441e-121
550.0	6.3058871982265e-122
551.0	3.821241643965492e-122
552.0	2.315599897436649e-122
553.0	1.403211883290834e-122
554.0	8.503225496475825e-123
555.0	5.152818508577537e-123
556.0	3.1225305847877553e-123
557.0	1.892209672593744e-123
558.0	1.1466543299242202e-123
559.0	6.948586526978081e-124
560.0	4.210766114975486e-124
561.0	2.5516814787624796e-124
562.0	1.546295504310794e-124
563.0	9.37042335301178e-125
564.0	5.678408304052491e-125
565.0	3.4410794834156807e-125
566.0	2.0852756483362874e-125
567.0	1.2636677929999423e-125
568.0	7.657782681521733e-126
569.0	4.640596745821394e-126
570.0	2.8121941181667176e-126
571.0	1.704187707318023e-126
572.0	1.0327381658479768e-126
573.0	6.258405365285087e-127
574.0	3.792606747629986e-127
575.0	2.2983311132899506e-127
576.0	1.3927976840810474e-127
577.0	8.440421404285478e-128
578.0	5.114943920948368e-128
579.0	3.0996900767357603e-128
580.0	1.8784356290989725e-128
581.0	1.1383478895822835e-128
582.0	6.89849477435765e-129
583.0	4.180558582777078e-129
584.0	2.5334651029988833e-129
585.0	1.535310344469559e-129
586.0	9.30417906665964e-130
587.0	5.638460944597113e-130
588.0	3.416990121258188e-130
589.0	2.0707491793603418e-130
590.0	1.2549080306795384e-130
591.0	7.604959804647045e-131
592.0	4.608743828920572e-131
593.0	2.792986489044328e-131
594.0	1.6926053843048433e-131
595.0	1.0257539941781352e-131
596.0	6.216290887083141e-132
597.0	3.7672119245850816e-132
598.0	2.283018258334435e-132
599.0	1.3835642273056688e-132
600.0	8.384745201499186e-133
601.0	5.0813723245469654e-133
602.0	3.079447236927346e-133
603.0	1.8662297825913912e-133
604.0	1.130988168560059e-133
605.0	6.85411840750294e-134
606.0	4.1538014830436743e-134
607.0	2.5173318035317104e-134
608.0	1.5255827786824183e-134
609.0	9.245527186170625e-135
610.0	5.603097346385427e-135
611.0	3.395668135177022e-135
612.0	2.057893485458303e-135
613.0	1.2471569901291587e-135
614.0	7.55822708340557e-136
615.0	4.580567872561791e-136
616.0	2.7759988606583176e-136
617.0	1.6823634193460938e-136
618.0	1.0195790899893405e-136
619.0	6.179062559963604e-137
620.0	3.7447672591931133e-137
621.0	2.2694866624112645e-137
622.0	1.3754062755607376e-137
623.0	8.335562834686055e-138
624.0	5.0517216995567113e-138
625.0	3.061571894567888e-138
626.0	1.855453451479283e-138
627.0	1.1244916081576454e-138
628.0	6.814953962002854e-139
629.0	4.1301914615098014e-139
630.0	2.5030987974254905e-139
631.0	1.5170026719410611e-139
632.0	9.193804091777777e-140
633.0	5.571917640721348e-140
634.0	3.3768725792100863e-140
635.0	2.0465633801963662e-140
636.0	1.2403271857546242e-140
637.0	7.517057347218983e-141
638.0	4.555751211371173e-141
639.0	2.7610398106462193e-141
640.0	1.673346461928793e-141
641.0	1.014143942776774e-141
642.0	6.146301508008553e-142
643.0	3.725020331103543e-142
644.0	2.2575842121645527e-142
645.0	1.3682321615706856e-142
646.0	8.292321889075894e-143
647.0	5.0256591410619705e-143
648.0	3.0458634274116204e-143
649.0	1.8459857314187982e-143
650.0	1.118785345106373e-143
651.0	6.780562321813205e-144
652.0	4.1094638791667705e-144
653.0	2.490606595104632e-144
654.0	1.5094739040568564e-144
655.0	9.148430487142281e-145
656.0	5.5445726946866614e-145
657.0	3.3603930345065944e-145
658.0	2.0366320451631272e-145
659.0	1.2343421840501989e-145
660.0	7.4809899270313125e-146
661.0	4.534016195090748e-146
662.0	2.74794199472196e-146
663.0	1.6654536500822569e-146
664.0	1.0093877603560888e-146
665.0	6.117641317457135e-147
666.0	3.7077502892413976e-147
667.0	2.2471777913790145e-147
668.0	1.3619616499219617e-147
669.0	8.254538743942105e-148
670.0	5.002893143142615e-148
671.0	3.0321461266623963e-148
672.0	1.837720710873127e-148
673.0	1.1138055388501595e-148
674.0	6.750558670449143e-149
675.0	4.091386775386496e-149
676.0	2.479715373614552e-149
677.0	1.50291219081395e-149
678.0	9.108898309233907e-150
679.0	5.520756246721504e-150
680.0	3.346044884389791e-150
681.0	2.0279881911901363e-150
682.0	1.2291348980142197e-150
683.0	7.44962040773022e-151
684.0	4.515119031489404e-151
685.0	2.7365584472379963e-151
686.0	1.658596387570375e-151
687.0	1.0052571332690822e-151
688.0	6.092760011554103e-152
689.0	3.6927630296878507e-152
690.0	2.238150383444836e-152
691.0	1.3565241959565448e-152
692.0	8.221788110278051e-153
693.0	4.983167311967434e-153
694.0	3.020265419060194e-153
695.0	1.830565200868938e-153
696.0	1.10949600727907e-153
697.0	6.724604292536051e-154
698.0	4.075755941060376e-154
699.0	2.470302015783142e-154
700.0	1.4972433046038332e-154
701.0	9.074760034800895e-155
702.0	5.500198479997364e-155
703.0	3.3336654520148403e-155
704.0	2.0205337370894806e-155
705.0	1.2246461920539962e-155
706.0	7.422592243425095e-156
707.0	4.4988447469538366e-156
708.0	2.7267595523480357e-156
709.0	1.6526965234430167e-156
710.0	1.0017049406101388e-156
711.0	6.071373473973306e-157
712.0	3.6798872427507735e-157
713.0	2.2303986953709938e-157
714.0	1.351857517618931e-157
715.0	8.193694446380613e-158
716.0	4.966255205762805e-158
717.0	3.0100847651833264e-158
718.0	1.824436870538873e-158
719.0	1.1058071059736162e-158
720.0	6.702399836681971e-159
721.0	4.0623908687013463e-159
722.0	2.46225767566887e-159
723.0	1.492401610903899e-159
724.0	9.045619882349404e-160
725.0	5.482660733386635e-160
726.0	3.3231108207668716e-160
727.0	2.014181898151721e-160
728.0	1.2208237328222723e-160
729.0	7.399589848771606e-161
730.0	4.485003033003436e-161
731.0	2.718430546903804e-161
732.0	1.647684850744739e-161
733.0	9.986894474184433e-162
734.0	6.053230022086514e-162
735.0	3.668971150220519e-162
736.0	2.22383119608398e-162
737.0	1.3479064159841882e-162
738.0	8.169924866187517e-163
739.0	4.951956070846492e-163
740.0	3.001483095647455e-163
741.0	1.8192627055620982e-163
742.0	1.1026948012874817e-163
743.0	6.683679741986666e-164
744.0	4.051131401103367e-164
745.0	2.4554857633761385e-164
746.0	1.4883288565176425e-164
747.0	9.021126525572108e-165
748.0	5.467931119840606e-165
749.0	3.3142531994374627e-165
750.0	2.0088556017148442e-165
751.0	1.2176210364201464e-165
752.0	7.380332869267401e-166
753.0	4.473424800656358e-166
754.0	2.711469448356635e-166
755.0	1.6434998604016018e-166
756.0	9.961735552856743e-167
757.0	6.03810590018871e-167
758.0	3.659879795007511e-167
759.0	2.2183664864045456e-167
760.0	1.344621794943257e-167
761.0	8.150183243492773e-168
762.0	4.940091295757697e-168
763.0	2.9943526785074443e-168
764.0	1.8149777255400557e-168
765.0	1.1001198989191372e-168
766.0	6.668207598277255e-169
767.0	4.041834940717586e-169
768.0	2.4499002665936195e-169
769.0	1.484973160028206e-169
770.0	9.000967021154975e-170
771.0	5.455820874059729e-170
772.0	3.30697872538031e-170
773.0	2.004486165768432e-170
774.0	1.2149966735723473e-170
775.0	7.364571400300383e-171
776.0	4.463959304605192e-171
777.0	2.7057853248797925e-171
778.0	1.640086700648776e-171
779.0	9.941241764141546e-172
780.0	6.025801514188511e-172
781.0	3.6524927761241895e-172
782.0	2.213931936513822e-172
783.0	1.3419598415545574e-172
784.0	8.134205281202652e-173
785.0	4.9305014450499765e-173
786.0	2.9885973348438545e-173
787.0	1.811523910514996e-173
788.0	1.098047398113405e-173
789.0	6.655772260984982e-174
790.0	4.034374112340335e-174
791.0	2.4454243444388977e-174
792.0	1.482288165830067e-174
793.0	8.984861719222362e-175
794.0	5.446161290461194e-175
795.0	3.301185622281185e-175
796.0	2.0010121905884736e-175
797.0	1.2129136027807704e-175
798.0	7.352081975029958e-176
799.0	4.456471729281998e-176
800.0	2.7012968429834938e-176
801.0	1.6373963031692277e-176
802.0	9.925117078321972e-177
803.0	6.016138268041953e-177
804.0	3.646702345194136e-177
805.0	2.210462540627296e-177
806.0	1.3398813368983016e-177
807.0	8.121754364678682e-178
808.0	4.923043764182004e-178
809.0	2.9841309374050063e-178
810.0	1.8088492975633964e-178
811.0	1.0964459480511666e-178
812.0	6.646184580035649e-179
813.0	4.028634794739043e-179
814.0	2.4419891429891174e-179
815.0	1.4802323313667629e-179
816.0	8.972559974201876e-180
817.0	5.438801142116514e-180
818.0	3.296782646942364e-180
819.0	1.9983786240445383e-180
820.0	1.211338607839673e-180
821.0	7.342664179406885e-181
822.0	4.4508411517891346e-181
823.0	2.697931041602504e-181
824.0	1.6353846453295412e-181
825.0	9.9130958739793e-182
826.0	6.008955891694435e-182
827.0	3.642411798340529e-182
828.0	2.2078999491848926e-182
829.0	1.3383510736125194e-182
830.0	8.112618056231974e-183
831.0	4.917590069739533e-183
832.0	2.980876140828376e-183
833.0	1.8069072165681586e-183
834.0	1.0952873878889295e-183
835.0	6.639274631482384e-184
836.0	4.0245144544434015e-184
837.0	2.439532792421574e-184
838.0	1.478768323524019e-184
839.0	8.963836511769849e-185
840.0	5.4336044940252035e-185
841.0	3.2936877730859174e-185
842.0	1.9965359693708288e-185
843.0	1.210241820982897e-185
844.0	7.336137781906148e-186
845.0	4.446958814214445e-186
846.0	2.6956222921510966e-186
847.0	1.6340121242007843e-186
848.0	9.904939169970444e-187
849.0	6.004110172939848e-187
850.0	3.6395341108769633e-187
851.0	2.2061916469941226e-187
852.0	1.3373373611676166e-187
853.0	8.106605117035684e-188
854.0	4.914024956709914e-188
855.0	2.978763302462139e-188
856.0	1.8056556405727435e-188
857.0	1.0945463556793333e-188
858.0	6.6348893632383234e-189
859.0	4.021920728478073e-189
860.0	2.437999553814601e-189
861.0	1.477862504996518e-189
862.0	8.958488336706567e-190
863.0	5.430448841587858e-190
864.0	3.291827070670263e-190
865.0	1.9954396104815192e-190
866.0	1.209596316700645e-190
867.0	7.33234028814537e-191
868.0	4.4447266514045794e-191
869.0	2.694311412169673e-191
870.0	1.633243022926094e-191
871.0	9.900431412644081e-192
872.0	6.001471023113554e-192
873.0	3.637990772720874e-192
874.0	2.2052902520625524e-192
875.0	1.3368116037073157e-192
876.0	8.103542965372895e-193
877.0	4.912244268119313e-193
878.0	2.977729560942182e-193
879.0	1.8050566309921312e-193
880.0	1.0941999543307629e-193
881.0	6.632890583787976e-194
882.0	4.020770213338853e-194
883.0	2.4373390899668345e-194
884.0	1.477484495230718e-194
885.0	8.956332089207544e-195
886.0	5.429223518748391e-195
887.0	3.2911337473722768e-195
888.0	1.9950492348061986e-195
889.0	1.2093777642005771e-195
890.0	7.331124848167261e-196
891.0	4.4440560308186565e-196
892.0	2.6939449065126453e-196
893.0	1.6330450537879005e-196
894.0	9.899377724318893e-197
895.0	6.000920820193208e-197
896.0	3.637710790637832e-197
897.0	2.205152914762555e-197
898.0	1.3367479382311738e-197
899.0	8.103275497786362e-198
900.0	4.912153782928649e-198
901.0	2.9777180460355324e-198
902.0	1.8050758617735764e-198
903.0	1.0942274650495064e-198
904.0	6.633153236479968e-199
905.0	4.020987425730751e-199
906.0	2.437505839523463e-199
907.0	1.4776067935032437e-199
